label,run
Call me Ishmael. Some years…,0
"Twinkle, twinkle, little star, how…",0
"To be, or not to…",0
Now is the winter of…,0
Space: the final frontier. These…,1
It is a truth universally…,2
"Mary had a little lamb,…",2
I have a dream that…,2
"Once upon a midnight dreary,…",4
The quick brown fox jumps…,5
Happy families are all alike;…,7
"Permission is hereby granted, free…",8
In the beginning God created…,16
Four score and seven years…,17
We hold these truths to…,22
It was the best of…,22
NOVEL (mean),0.42
